ID;URL;#Name;#Color;#Descriptive Color;#Color RGB;<img>;X;Y
300301;https://brickset.com/parts/300301;Brick 2X2;White;White;F4F4F4;images/300301.jpg;0.05;0.45
301001;https://brickset.com/parts/301001;Brick 1X4;White;White;F4F4F5;images/301001.jpg;0.55;0.5
300101;https://brickset.com/parts/300101;Brick 2X4;White;White;F4F4F6;images/300101.jpg;0.9;0.35
300901;https://brickset.com/parts/300901;Brick 1X6;White;White;F4F4F7;images/300901.jpg;0.35;0.5
306201;https://brickset.com/parts/306201;Round Brick 1X1;White;White;F4F4F8;images/306201.jpg;0.2;0.05
614301;https://brickset.com/parts/614301;Brick Ø16 W. Cross;White;White;F4F4F9;images/614301.jpg;0.9;0.05
4547489;https://brickset.com/parts/4547489;Roof Tile 1 X 2 X 2/3, Abs;White;White;F4F4F10;images/4547489.jpg;0.75;0.6
4500469;https://brickset.com/parts/4500469;Roof Tile 2X3/25° Inv;White;White;F4F4F11;images/4500469.jpg;0.55;0.55
6029156;http://wallofbricks.com/brick.php?id=6029156;"White Flat Tile 1X1 - Round No. 8""""";White;White;F4F4F12;images/6029156.jpg;0.7;0.4
6099548;https://brickset.com/parts/6099548;Flat Tile 1X1, Round No. 27;White;White;F4F4F13;images/6099548.jpg;0.1;0
300521;https://brickset.com/parts/300521;Brick 1X1;Red;Bright Red;B40000;images/300521.jpg;0.15;0.3
300421;https://brickset.com/parts/300421;Brick 1X2;Red;Bright Red;B40001;images/300421.jpg;0.3;0.35
300121;https://brickset.com/parts/300121;Brick 2X4;Red;Bright Red;B40002;images/300121.jpg;0.55;0.6
300921;https://brickset.com/parts/300921;Brick 1X6;Red;Bright Red;B40003;images/300921.jpg;0.8;0.4
6036408;https://brickset.com/parts/6036408;Brick 2X8;Red;Bright Red;B40004;images/6036408.jpg;0.75;0.05
306221;https://brickset.com/parts/306221;Round Brick 1X1;Red;Bright Red;B40005;images/306221.jpg;0.1;0.5
6056297;https://brickset.com/parts/6056297;Nose Cone 2X2X2;Red;Bright Red;B40006;images/6056297.jpg;0.05;0.1
614321;https://brickset.com/parts/614321;Brick Ø16 W. Cross;Red;Bright Red;B40007;images/614321.jpg;0.3;0.45
4121934;https://brickset.com/parts/4121934;Roof Tile 1X2/45°;Red;Bright Red;B40008;images/4121934.jpg;0.5;0.4
303921;https://brickset.com/parts/303921;Roof Tile 2X2/45°;Red;Bright Red;B40009;images/303921.jpg;0.5;0.15
4521852;https://brickset.com/parts/4521852;Brick 2X2 W. Bow And Knobs;Red;Bright Red;B40010;images/4521852.jpg;0.55;0.35
300223;https://brickset.com/parts/300223;Brick 2X3;Blue;Bright Blue;1E5AA8;images/300223.jpg;0;0.15
300123;https://brickset.com/parts/300123;Brick 2X4;Blue;Bright Blue;1E5AA8;images/300123.jpg;0.3;0.45
4651236;https://brickset.com/parts/4651236;Roof Tile 1 X 2 X 2/3, Abs;Blue;Bright Blue;1E5AA8;images/4651236.jpg;0.45;0.1
366523;https://brickset.com/parts/366523;Roof Tile 1X2 Inv;Blue;Bright Blue;1E5AA8;images/366523.jpg;0.85;0.35
621523;https://brickset.com/parts/621523;Brick 2X3 W. Arch;Blue;Bright Blue;1E5AA8;images/621523.jpg;0.7;0.15
300424;https://brickset.com/parts/300424;Brick 1X2;Yellow;Bright Yellow;FAC80A;images/300424.jpg;0.25;0.35
300124;https://brickset.com/parts/300124;Brick 2X4;Yellow;Bright Yellow;FAC80A;images/300124.jpg;0.45;0.4
